Roles	Description	Privileges
AcrPush	acr push	Yes
API Management Service Contributor	Can manage service and the APIs	Yes
AcrPull	acr pull	Yes
AcrImageSigner	Planned DEPRECATION on March 31, 2028. Grant the signing permission for content trust. As content trust is being deprecated and will be completely removed on March 31, 2028, this role will also be removed. Refer to https://aka.ms/acr/dctdeprecation for details and transition guidance.	Yes
AcrDelete	acr delete	Yes
AcrQuarantineReader	acr quarantine data reader	Yes
AcrQuarantineWriter	acr quarantine data writer	Yes
API Management Service Operator Role	Can manage service but not the APIs	Yes
API Management Service Reader Role	Read-only access to service and APIs	Yes
Application Insights Component Contributor	Can manage Application Insights components	Yes
Application Insights Snapshot Debugger	Gives user permission to use Application Insights Snapshot Debugger features	Yes
Attestation Reader	Can read the attestation provider properties	Yes
Automation Job Operator	Create and Manage Jobs using Automation Runbooks.	Yes
Automation Runbook Operator	Read Runbook properties - to be able to create Jobs of the runbook.	Yes
Automation Operator	Automation Operators are able to start, stop, suspend, and resume jobs	Yes
Avere Contributor	Can create and manage an Avere vFXT cluster.	Yes
Avere Operator	Used by the Avere vFXT cluster to manage the cluster	Yes
Azure Kubernetes Service Cluster Admin Role	List cluster admin credential action.	Yes
Azure Kubernetes Service Cluster User Role	List cluster user credential action.	Yes
Azure Maps Data Reader	Grants access to read map related data from an Azure maps account.	No
Azure Stack Registration Owner	Lets you manage Azure Stack registrations.	Yes
Backup Contributor	Lets you manage backups, but can't delete vaults and give access to others	Yes
Billing Reader	Allows read access to billing data	Yes
Backup Reader	Can view backup services, but can't make changes	Yes
Blockchain Member Node Access (Preview)	Allows for access to Blockchain Member nodes	Yes
BizTalk Contributor	Lets you manage BizTalk services, but not access to them.	Yes
CDN Endpoint Contributor	Can manage CDN endpoints, but can't grant access to other users.	Yes
CDN Profile Contributor	Can manage CDN and Azure Front Door standard and premium profiles and their endpoints, but can't grant access to other users.	Yes
CDN Profile Reader	Can view CDN profiles and their endpoints, but can't make changes.	Yes
Classic Network Contributor	Lets you manage classic networks, but not access to them.	Yes
Classic Storage Account Contributor	Lets you manage classic storage accounts, but not access to them.	Yes
Classic Storage Account Key Operator Service Role	Classic Storage Account Key Operators are allowed to list and regenerate keys on Classic Storage Accounts	Yes
ClearDB MySQL DB Contributor	Lets you manage ClearDB MySQL databases, but not access to them.	Yes
Classic Virtual Machine Contributor	Lets you manage classic virtual machines, but not access to them, and not the virtual network or storage account they’re connected to.	Yes
Cognitive Services User	Lets you read and list keys of Cognitive Services.	Yes
Cognitive Services Data Reader	Lets you read Cognitive Services data.	No
Cognitive Services Contributor	Lets you create, read, update, delete and manage keys of Cognitive Services.	Yes
CosmosBackupOperator	Can submit restore request for a Cosmos DB database or a container for an account	Yes
Contributor	Grants full access to manage all resources, but does not allow you to assign roles in Azure RBAC, manage assignments in Azure Blueprints, or share image galleries.	Yes
Cosmos DB Account Reader Role	Can read Azure Cosmos DB Accounts data	Yes
Cost Management Contributor	Can view costs and manage cost configuration (e.g. budgets, exports)	Yes
Cost Management Reader	Can view cost data and configuration (e.g. budgets, exports)	Yes
Data Box Contributor	Lets you manage everything under Data Box Service except giving access to others.	Yes
Data Box Reader	Lets you manage Data Box Service except creating order or editing order details and giving access to others.	Yes
Data Factory Contributor	Create and manage data factories, as well as child resources within them.	Yes
Data Purger	Can purge analytics data	Yes
Data Lake Analytics Developer	Lets you submit, monitor, and manage your own jobs but not create or delete Data Lake Analytics accounts.	Yes
DevTest Labs User	Lets you connect, start, restart, and shutdown your virtual machines in your Azure DevTest Labs.	Yes
DocumentDB Account Contributor	Lets you manage DocumentDB accounts, but not access to them.	Yes
DNS Zone Contributor	Lets you manage DNS zones and record sets in Azure DNS, but does not let you control who has access to them.	Yes
EventGrid EventSubscription Contributor	Lets you manage EventGrid event subscription operations.	Yes
EventGrid EventSubscription Reader	Lets you read EventGrid event subscriptions.	Yes
Graph Owner	Create and manage all aspects of the Enterprise Graph - Ontology, Schema mapping, Conflation and Conversational AI and Ingestions	Yes
HDInsight Domain Services Contributor	Can Read, Create, Modify and Delete Domain Services related operations needed for HDInsight Enterprise Security Package	Yes
Intelligent Systems Account Contributor	Lets you manage Intelligent Systems accounts, but not access to them.	Yes
Key Vault Contributor	Lets you manage key vaults, but not access to them.	Yes
Knowledge Consumer	Knowledge Read permission to consume Enterprise Graph Knowledge using entity search and graph query	Yes
Lab Creator	Lets you create new labs under your Azure Lab Accounts.	Yes
Log Analytics Reader	Log Analytics Reader can view and search all monitoring data as well as and view monitoring settings, including viewing the configuration of Azure diagnostics on all Azure resources.	Yes
Log Analytics Contributor	Log Analytics Contributor can read all monitoring data and edit monitoring settings. Editing monitoring settings includes adding the VM extension to VMs; reading storage account keys to be able to configure collection of logs from Azure Storage; adding solutions; and configuring Azure diagnostics on all Azure resources.	Yes
Logic App Operator	Lets you read, enable and disable logic app.	Yes
Logic App Contributor	Lets you manage logic app, but not access to them.	Yes
Managed Application Operator Role	Lets you read and perform actions on Managed Application resources	Yes
Managed Application Publisher Operator	Allows the publisher to read resources in the managed resource group for Managed Application and request JIT access for additional operations. This role is only used by the Managed Application service to provide access to publishers.	Yes
Managed Identity Operator	Read and Assign User Assigned Identity	Yes
Managed Identity Contributor	Create, Read, Update, and Delete User Assigned Identity	Yes
Management Group Contributor	Management Group Contributor Role	Yes
Management Group Reader	Management Group Reader Role	Yes
Monitoring Reader	Can read all monitoring data.	Yes
Network Contributor	Lets you manage networks, but not access to them.	Yes
New Relic APM Account Contributor	Lets you manage New Relic Application Performance Management accounts and applications, but not access to them.	Yes
Owner	Grants full access to manage all resources, including the ability to assign roles in Azure RBAC.	Yes
Reader	View all resources, but does not allow you to make any changes.	Yes
Redis Cache Contributor	Lets you manage Redis caches, but not access to them.	Yes
Reader and Data Access	Lets you view everything but will not let you delete or create a storage account or contained resource. It will also allow read/write access to all data contained in a storage account via access to storage account keys.	Yes
Resource Policy Contributor	Users with rights to create/modify resource policy, create support ticket and read resources/hierarchy.	Yes
Scheduler Job Collections Contributor	Lets you manage Scheduler job collections, but not access to them.	Yes
Search Service Contributor	Lets you manage Search services, but not access to them.	Yes
Security Manager (Legacy)	This is a legacy role. Please use Security Administrator instead	Yes
Security Reader	Security Reader Role	Yes
Spatial Anchors Account Contributor	Lets you manage spatial anchors in your account, but not delete them	No
Site Recovery Contributor	Lets you manage Site Recovery service except vault creation and role assignment	Yes
Site Recovery Operator	Lets you failover and failback but not perform other Site Recovery management operations	Yes
Spatial Anchors Account Reader	Lets you locate and read properties of spatial anchors in your account	No
Site Recovery Reader	Lets you view Site Recovery status but not perform other management operations	Yes
Spatial Anchors Account Owner	Lets you manage spatial anchors in your account, including deleting them	No
SQL Managed Instance Contributor	Lets you manage SQL Managed Instances and required network configuration, but can’t give access to others.	Yes
SQL DB Contributor	Lets you manage SQL databases, but not access to them. Also, you can't manage their security-related policies or their parent SQL servers.	Yes
SQL Security Manager	Lets you manage the security-related policies of SQL servers and databases, but not access to them.	Yes
Storage Account Contributor	Lets you manage storage accounts, including accessing storage account keys which provide full access to storage account data.	Yes
SQL Server Contributor	Lets you manage SQL servers and databases, but not access to them, and not their security -related policies.	Yes
Storage Account Key Operator Service Role	Storage Account Key Operators are allowed to list and regenerate keys on Storage Accounts	Yes
Storage Blob Data Contributor	Allows for read, write and delete access to Azure Storage blob containers and data	Yes
Storage Blob Data Owner	Allows for full access to Azure Storage blob containers and data, including assigning POSIX access control.	Yes
Storage Blob Data Reader	Allows for read access to Azure Storage blob containers and data	Yes
Storage Queue Data Contributor	Allows for read, write, and delete access to Azure Storage queues and queue messages	Yes
Storage Queue Data Message Processor	Allows for peek, receive, and delete access to Azure Storage queue messages	No
Storage Queue Data Message Sender	Allows for sending of Azure Storage queue messages	No
Storage Queue Data Reader	Allows for read access to Azure Storage queues and queue messages	Yes
Support Request Contributor	Lets you create and manage Support requests	Yes
Traffic Manager Contributor	Lets you manage Traffic Manager profiles, but does not let you control who has access to them.	Yes
User Access Administrator	Lets you manage user access to Azure resources.	Yes
Virtual Machine Contributor	Lets you manage virtual machines, but not access to them, and not the virtual network or storage account they're connected to.	Yes
Web Plan Contributor	Lets you manage the web plans for websites, but not access to them.	Yes
Website Contributor	Lets you manage websites (not web plans), but not access to them.	Yes
Azure Service Bus Data Owner	Allows for full access to Azure Service Bus resources.	Yes
Azure Event Hubs Data Owner	Allows for full access to Azure Event Hubs resources.	Yes
Attestation Contributor	Can read write or delete the attestation provider instance	Yes
HDInsight Cluster Operator	Lets you read and modify HDInsight cluster configurations.	Yes
Cosmos DB Operator	Lets you manage Azure Cosmos DB accounts, but not access data in them. Prevents access to account keys and connection strings.	Yes
Hybrid Server Resource Administrator	Can read, write, delete, and re-onboard Hybrid servers to the Hybrid Resource Provider.	Yes
